X,Y,RSRP
0.5792207792177703,0.539358600581518,0.7307692307692307
0.571428571425603,0.508746355683648,0.6410256410256411
0.5584415584386575,0.5043731778410951,0.5833333333333334
0.25714285714152135,0.7317784256538432,0.358974358974359
0.5532467532438793,0.5189504373162713,0.6510256410256411
0.6129870129838286,0.5320699708439298,0.6132051282051282
0.5896103896073267,0.5451895043715884,0.6346153846153846
0.5376623376595446,0.516034985421236,0.6814102564102564
0.5454545454517119,0.5116618075786832,0.6347435897435898
0.6155844155812178,0.5306122448964122,0.5937179487179487
0.5480519480491011,0.5218658892113065,0.6553846153846155
0.5428571428543228,0.5131195335262009,0.6305128205128206
0.5558441558412683,0.5174927113687536,0.6614102564102564
0.6103896103864396,0.5335276967914474,0.6424358974358975
0.5506493506464901,0.5204081632637889,0.6503846153846154
0.6181818181786068,0.5291545189488946,0.6410256410256411
0.5610389610360466,0.5029154518935776,0.5925641025641025
0.6025974025942723,0.5262390670538594,0.6425641025641026
0.670129870126389,0.4883381924184014,0.4230769230769231
0.5636363636334357,0.5014577259460599,0.6007692307692307
0.5688311688282139,0.5102040816311656,0.6553846153846155
0.5402597402569338,0.5145772594737185,0.6623076923076923
0.6779220779185563,0.49562682215598947,0.47115384615384615
0.6805194805159454,0.4941690962084718,0.373974358974359
0.6727272727237781,0.4985422740510247,0.38461538461538464
0.6051948051916614,0.5247813411063418,0.658076923076923
0.5766233766203812,0.5058309037886127,0.6410256410256411
0.5740259740229922,0.5072886297361303,0.6378205128205128
0.5662337662308248,0.4999999999985423,0.5961538461538461
0.6077922077890504,0.5233236151588242,0.6244871794871794
0.5870129870099376,0.5349854227389651,0.6025641025641025
0.5999999999968831,0.527696793001377,0.6538461538461539
0.446753246750926,0.6822157434382443,0.42948717948717946
0.42597402597181316,0.6705539358581034,0.46153846153846156
0.37662337662142015,0.6428571428552686,0.6264102564102564
0.4285714285692023,0.672011661805621,0.476025641025641
0.4311688311665914,0.6734693877531386,0.48358974358974355
0.43896103895875865,0.6778425655956914,0.48371794871794876
0.43636363636136954,0.6763848396481739,0.47487179487179493
0.43376623376398044,0.6749271137006562,0.45846153846153853
0.44155844155614776,0.679300291543209,0.48384615384615376
0.44415584415353687,0.6807580174907266,0.4230769230769231
0.3350649350631945,0.747813411076537,0.38461538461538464
0.36363636363447466,0.740524781338949,0.36461538461538456
0.3532467532449182,0.7346938775488785,0.40807692307692306
0.35844155843969644,0.7376093294439137,0.41961538461538467
0.3506493506475291,0.7332361516013608,0.40564102564102567
0.36103896103708555,0.7390670553914314,0.3733333333333334
0.3428571428553618,0.7521865889190898,0.375
0.3454545454527509,0.7536443148666074,0.391025641025641
0.35584415584230733,0.7361516034963961,0.4325641025641025
0.34805194805014,0.7551020408141251,0.3782051282051282
0.29870129869974704,0.7740524781318541,0.3076923076923077
0.36623376623186377,0.7419825072864665,0.41102564102564104
0.3402597402579727,0.7507288629715723,0.46794871794871795
0.5402597402569338,0.47959183673329564,0.5333333333333332
0.31428571428408164,0.7230320699687376,0.42948717948717946
0.69610389610028,0.5204081632637889,0.3525641025641026
0.5584415584386575,0.4927113702609542,0.6205128205128206
0.6779220779185563,0.5072886297361303,0.5051282051282052
0.5610389610360466,0.4912536443134366,0.591923076923077
